Test No,Pin No,Mating Pin,Connectors,Part No,Harness,Harness Name
T4,T4A11,1,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A12,2,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A13,3,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A14,4,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A15,6,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A16,7,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A17,8,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A18,1,IM2EC,C6NT10237,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A19,2,IM2EC,C6NT10237,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A20,,,,,
T4,T4A21,,,,,
T4,T4A22,,,,,
T4,T4A23,,,,,
T4,T4A24,,,,,
T4,T4A25,,,,,
T4,T4B1,1,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B2,2,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B3,3,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B4,4,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B5,5,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B6,8,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B7,9,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B8,10,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B9,11,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B10,1,IME2E,C6NR10457,FFJ00600,MAIN EXTERIOR HARNESS
T4,T4B11,2,IME2E,C6NR10457,FFJ00600,MAIN EXTERIOR HARNESS
T4,T4B12,3,IME2E,C6NR10457,FFJ00600,MAIN EXTERIOR HARNESS
T4,T4B13,,,,,
T4,T4B14,,,,,
T4,T4B15,,,,,
T4,T4B16,,,,,
T4,T4B17,,,,,
T4,T4B18,,,,,
T4,T4B19,,,,,
T4,T4B20,,,,,
T4,T4B21,,,,,
T4,T4B22,,,,,
T4,T4B23,,,,,
T4,T4B24,,,,,
T4,T4B25,,,,,
T4,T4C1,1,BAP2AC,C25NT10150,,
T4,T4C2,3,BAP2AC,C25NT10150,,
T4,T4C3,4,BAP2AC,C25NT10150,,
T4,T4C4,6,BAP2AC,C25NT10150,,
T4,T4C5,7,BAP2AC,C25NT10150,,
T4,T4C6,8,BAP2AC,C25NT10150,,
T4,T4C7,9,BAP2AC,C25NT10150,,
T4,T4C8,11,BAP2AC,C25NT10150,,
T4,T4C9,12,BAP2AC,C25NT10150,,
T4,T4C10,13,BAP2AC,C25NT10150,,
T4,T4C11,15,BAP2AC,C25NT10150,,
T4,T4C12,16,BAP2AC,C25NT10150,,
T4,T4C13,17,BAP2AC,C25NT10150,,
T4,T4C14,18,BAP2AC,C25NT10150,,
T4,T4C15,,,,,
T4,T4C16,,,,,
T4,T4C17,,,,,
T4,T4C18,,,,,
T4,T4C19,,,,,
T4,T4C20,,,,,
T4,T4C21,,,,,
T4,T4C22,,,,,
T4,T4C23,1,loose wires,,,
T4,T4C24,1,loose wires,,,
T4,T4C25,1,loose wires,,,
T5,T5A1,3,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A2,4,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A3,5,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A4,6,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A5,7,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A6,8,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A7,9,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A8,10,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A9,11,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A10,12,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A11,13,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A12,14,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A13,15,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A14,16,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A15,17,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A16,18,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A17,19,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A18,20,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A19,21,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A20,24,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A21,25,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A22,27,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A23,28,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A24,29,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5A25,30,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B1,31,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B2,32,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B3,34,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B4,35,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B5,36,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B6,37,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B7,38,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B8,43,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B9,44,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B10,45,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B11,46,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B12,50,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B13,51,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B14,52,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B15,53,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B16,54,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B17,55,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B18,56,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T5B19,,,,,
T5,T5B20,,,,,
T5,T5B21,,,,,
T5,T5B22,,,,,
T5,T5B23,,,,,
T5,T5B24,,,,,
T5,T5B25,,,,,
T5,T4D1,3,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D2,4,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D3,5,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D4,6,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D5,7,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D6,8,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D7,9,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D8,10,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D9,11,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D10,12,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D11,13,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D12,14,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D13,15,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D14,16,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D15,17,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D16,18,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D17,19,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D18,20,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D19,21,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D20,24,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D21,25,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D22,27,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D23,28,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D24,29,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4D25,30,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E1,31,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E2,32,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E3,34,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E4,35,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E5,36,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E6,37,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E7,38,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E8,43,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E9,44,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E10,45,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E11,46,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E12,50,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E13,51,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E14,52,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E15,53,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E16,54,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E17,55,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E18,56,IEA2EAP,C62WT10236,FEM00139,EDC CABIN PIGTAIL
T5,T4E19,,,,,
T5,T4E20,,,,,
T5,T4E21,,,,,
T5,T4E22,,,,,
T5,T4E23,,,,,
T5,T4E24,,,,,
T5,T4E25,,,,,
